CO(GT),NOx(GT),Time,T
2.6,166.0,18,13.6
2.0,103.0,19,13.3
2.2,131.0,20,11.9
2.2,172.0,21,11.0
1.6,131.0,22,11.2
1.2,89.0,23,11.2
1.2,62.0,00,11.3
1.0,62.0,01,10.7
0.9,45.0,02,10.7
0.7,16.0,05,11.0
0.7,34.0,06,10.5
1.1,98.0,07,10.2
2.0,174.0,08,10.8
2.2,129.0,09,10.5
1.7,112.0,10,10.8
1.5,95.0,11,10.5
1.6,104.0,12,9.5
1.9,146.0,13,8.3
2.9,207.0,14,8.0
2.2,184.0,15,8.3
2.2,193.0,16,9.7
2.9,243.0,17,9.8
4.8,281.0,18,10.3
6.9,383.0,19,9.7
6.1,351.0,20,9.6
3.9,240.0,21,9.1
1.5,94.0,22,8.2
1.0,47.0,23,8.2
1.7,122.0,00,8.3
1.9,133.0,01,7.7
1.4,82.0,02,7.1
0.6,30.0,05,6.3
0.8,56.0,06,6.8
1.4,109.0,07,6.4
4.4,307.0,08,7.3
3.1,187.0,10,13.2
2.7,216.0,11,14.3
2.1,143.0,12,15.0
2.5,160.0,13,16.1
2.7,163.0,14,16.3
2.9,190.0,15,15.8
2.8,178.0,16,15.9
2.4,150.0,17,16.9
3.9,206.0,18,15.1
3.7,202.0,19,14.4
6.6,340.0,20,12.9
4.4,274.0,21,12.1
3.5,253.0,22,11.0
5.4,300.0,23,9.7
2.7,193.0,00,9.5
1.9,139.0,01,9.1
1.6,83.0,02,8.8
1.0,62.0,05,8.3
1.2,53.0,06,7.2
1.5,139.0,07,6.3
2.7,256.0,08,6.5
3.7,295.0,09,9.6
3.2,250.0,10,12.4
4.1,296.0,11,15.6
3.6,239.0,12,18.4
2.8,153.0,13,19.4
2.0,118.0,14,18.0
2.0,119.0,15,18.4
2.5,138.0,16,17.6
2.3,148.0,17,16.7
3.2,227.0,18,16.1
4.2,277.0,19,15.8
4.2,279.0,20,15.7
4.2,283.0,21,15.3
3.1,214.0,22,14.6
2.6,172.0,23,14.7
2.9,190.0,00,13.9
2.8,174.0,01,14.6
2.5,128.0,02,12.5
1.2,53.0,05,11.5
1.0,44.0,06,11.6
0.9,74.0,07,10.4
1.4,101.0,08,11.6
1.6,118.0,09,12.4
2.2,144.0,10,14.5
2.8,176.0,11,16.9
2.8,161.0,12,19.3
2.0,113.0,13,21.2
1.8,103.0,14,21.4
1.9,112.0,15,21.9
3.0,170.0,16,22.2
2.9,180.0,17,21.3
2.5,160.0,18,19.7
4.6,261.0,19,18.4
5.9,325.0,20,17.6
3.4,217.0,21,16.7
2.1,146.0,22,16.3
2.2,152.0,23,14.7
1.8,104.0,00,14.8
1.8,106.0,01,14.0
1.8,108.0,02,13.4
1.0,88.0,05,11.9
1.4,138.0,06,11.4
2.2,228.0,07,11.3
5.5,360.0,08,12.4
8.1,478.0,09,14.8
5.8,394.0,10,17.4
4.2,319.0,11,19.8
3.1,201.0,12,22.0
2.9,171.0,13,23.3
2.9,159.0,14,23.9
2.5,153.0,15,24.4
2.3,143.0,16,24.4
2.8,156.0,17,23.8
6.1,314.0,18,22.5
8.0,404.0,19,20.4
6.5,320.0,20,18.3
4.2,256.0,21,16.7
3.2,193.0,22,15.7
1.4,89.0,23,15.3
2.1,127.0,00,14.1
1.2,79.0,01,14.8
0.8,43.0,02,14.8
0.6,38.0,05,12.8
0.9,82.0,06,11.2
1.3,99.0,07,11.0
3.4,263.0,08,11.7
3.7,229.0,09,13.6
5.3,396.0,10,17.8
4.1,314.0,11,21.4
3.3,217.0,12,24.4
4.0,252.0,13,25.3
3.8,263.0,14,25.8
2.8,180.0,15,27.0
2.9,184.0,16,28.2
2.9,190.0,17,28.0
3.4,184.0,18,23.9
3.9,181.0,19,21.3
3.2,166.0,20,20.4
5.1,317.0,21,19.0
2.6,184.0,22,17.9
1.7,130.0,23,16.7
1.7,132.0,00,15.5
1.2,95.0,01,15.5
0.9,70.0,02,14.1
0.5,28.0,05,11.8
0.5,46.0,06,11.9
1.6,160.0,07,9.9
4.1,320.0,08,11.1
6.6,377.0,09,14.1
4.3,280.0,10,17.7
2.9,221.0,11,21.1
2.5,210.0,12,24.3
2.8,204.0,13,25.6
2.6,161.0,14,25.9
2.0,135.0,15,26.8
2.9,186.0,16,29.3
2.5,147.0,17,28.5
5.0,299.0,18,25.9
7.6,411.0,19,23.1
6.7,347.0,20,20.5
5.7,336.0,21,19.1
2.8,202.0,22,17.2
2.6,178.0,23,16.0
2.3,154.0,00,14.8
1.4,92.0,01,14.3
1.0,61.0,02,14.8
0.6,37.0,05,12.0
0.7,68.0,06,10.9
1.5,139.0,07,10.6
4.7,339.0,08,11.5
6.6,421.0,09,14.3
4.5,349.0,10,17.8
2.8,224.0,11,20.8
2.2,171.0,12,23.8
2.2,149.0,13,24.2
2.3,137.0,14,25.2
2.2,149.0,15,27.0
2.8,172.0,16,27.1
2.7,166.0,17,25.8
3.7,214.0,18,23.0
5.1,280.0,19,20.7
5.1,276.0,20,18.6
3.2,178.0,21,16.0
2.1,129.0,22,14.5
1.7,95.0,23,13.1
2.0,126.0,00,12.0
1.6,103.0,01,11.9
0.9,48.0,02,12.5
0.5,18.0,05,12.5
0.7,56.0,06,12.3
1.5,115.0,07,12.4
4.8,320.0,08,13.0
6.2,357.0,09,13.6
4.0,253.0,10,13.9
3.3,218.0,11,14.5
2.8,192.0,12,15.5
3.0,176.0,13,16.1
3.3,198.0,14,16.3
3.5,212.0,15,16.4
4.0,249.0,16,16.1
4.6,270.0,17,16.0
4.1,231.0,18,15.8
